"Rank","Root Domain","Linking Root Domains","Domain Authority"
"7","www.blogger.com","25,679,675","99"
"8","microsoft.com","4,562,931","99"
"10","wordpress.org","10,125,846","98"
"11","en.wikipedia.org","5,390,424","98"
"12","linkedin.com","9,144,963","98"
"15","mozilla.org","1,905,644","98"
"17","europa.eu","1,660,246","97"
"18","adobe.com","2,778,263","97"
"23","vimeo.com","3,061,358","97"
"24","cnn.com","1,202,573","96"
"25","istockphoto.com","3,127,969","96"
"27","github.com","2,026,674","96"
"29","bbc.co.uk","1,396,319","96"
"30","facebook.com","46,204,949","96"
"31","line.me","636,855","96"
"32","amazon.com","3,993,485","96"
"33","vk.com","1,613,830","96"
"34","uol.com.br","563,456","96"
"36","slideshare.net","872,011","95"
"37","nytimes.com","1,666,379","95"
"38","dailymotion.com","1,058,881","95"
"41","paypal.com","897,654","95"
"43","mail.ru","474,982","95"
"44","issuu.com","839,108","95"
"46","imdb.com","1,216,126","95"
"47","globo.com","378,523","95"
"48","www.yahoo.com","907,634","95"
"50","nih.gov","1,038,441","95"
"51","creativecommons.org","1,563,880","95"
"52","wikimedia.org","1,364,119","95"
"53","whatsapp.com","2,021,743","95"
"54","washingtonpost.com","858,576","95"
"56","t.me","591,591","95"
"57","bbc.com","654,332","95"
"58","theguardian.com","1,183,992","95"
